datetime,00060_Mean,00060_Mean_cd,site_no
1999-10-01 00:00:00+00:00,1030.0,A,06259000
1999-10-02 00:00:00+00:00,1030.0,A,06259000
1999-10-03 00:00:00+00:00,1030.0,A,06259000
1999-10-04 00:00:00+00:00,1030.0,A,06259000
1999-10-05 00:00:00+00:00,1030.0,A,06259000
1999-10-06 00:00:00+00:00,1040.0,A,06259000
1999-10-07 00:00:00+00:00,1040.0,A,06259000
1999-10-08 00:00:00+00:00,1030.0,A,06259000
1999-10-09 00:00:00+00:00,1030.0,A,06259000
1999-10-10 00:00:00+00:00,1030.0,A,06259000
1999-10-11 00:00:00+00:00,1030.0,A,06259000
1999-10-12 00:00:00+00:00,1040.0,A,06259000
1999-10-13 00:00:00+00:00,1040.0,A,06259000
1999-10-14 00:00:00+00:00,1040.0,A,06259000
1999-10-15 00:00:00+00:00,1050.0,A,06259000
1999-10-16 00:00:00+00:00,1050.0,A,06259000
1999-10-17 00:00:00+00:00,1050.0,A,06259000
1999-10-18 00:00:00+00:00,1050.0,A,06259000
1999-10-19 00:00:00+00:00,1050.0,A,06259000
1999-10-20 00:00:00+00:00,1050.0,A,06259000
1999-10-21 00:00:00+00:00,1050.0,A,06259000
1999-10-22 00:00:00+00:00,1040.0,A,06259000
1999-10-23 00:00:00+00:00,1050.0,A,06259000
1999-10-24 00:00:00+00:00,1050.0,A,06259000
1999-10-25 00:00:00+00:00,1050.0,A,06259000
1999-10-26 00:00:00+00:00,1040.0,A,06259000
1999-10-27 00:00:00+00:00,1050.0,A,06259000
1999-10-28 00:00:00+00:00,1040.0,A,06259000
1999-10-29 00:00:00+00:00,1050.0,A,06259000
1999-10-30 00:00:00+00:00,1040.0,A,06259000
1999-10-31 00:00:00+00:00,1050.0,A,06259000
1999-11-01 00:00:00+00:00,1060.0,A,06259000
1999-11-02 00:00:00+00:00,1050.0,A,06259000
1999-11-03 00:00:00+00:00,1050.0,A,06259000
1999-11-04 00:00:00+00:00,1050.0,A,06259000
1999-11-05 00:00:00+00:00,1040.0,A,06259000
1999-11-06 00:00:00+00:00,1040.0,A,06259000
1999-11-07 00:00:00+00:00,1050.0,A,06259000
1999-11-08 00:00:00+00:00,1050.0,A,06259000
1999-11-09 00:00:00+00:00,1050.0,A,06259000
1999-11-10 00:00:00+00:00,1050.0,A,06259000
1999-11-11 00:00:00+00:00,1050.0,A,06259000
1999-11-12 00:00:00+00:00,1040.0,A,06259000
1999-11-13 00:00:00+00:00,1040.0,A,06259000
1999-11-14 00:00:00+00:00,1040.0,A,06259000
1999-11-15 00:00:00+00:00,1040.0,A,06259000
1999-11-16 00:00:00+00:00,1040.0,A,06259000
1999-11-17 00:00:00+00:00,1040.0,A,06259000
1999-11-18 00:00:00+00:00,1050.0,A,06259000
1999-11-19 00:00:00+00:00,1050.0,A,06259000
1999-11-20 00:00:00+00:00,1050.0,A,06259000
1999-11-21 00:00:00+00:00,1050.0,A,06259000
1999-11-22 00:00:00+00:00,1050.0,A,06259000
1999-11-23 00:00:00+00:00,1050.0,A,06259000
